id,CH,CH_traditional,Pinyin,POS,EN,CH_Sentence,EN_Sentence,media
5564,功,功,gōng,noun,"achievement, merit",这位将军立了大<b>功</b>。,The general performed a great <b>meritorious service</b>.,
5565,心事,心事,xīnshì,noun,"weight on one's mind, worry",她看起来满脸<b>心事</b>。,She looks like she has a lot of <b>worries on her mind</b>.,
5566,意象,意象,yìxiàng,noun,"imagery, mental image",这首诗充满了自然<b>意象</b>。,This poem is full of natural <b>imagery</b>.,
5567,一般,一般,yībān,adv,"generally, usually, ordinary",他<b>一般</b>早上六点起床。,He <b>generally</b> gets up at six in the morning.,
5568,华丽,華麗,huálì,adj,"magnificent, gorgeous",宴会厅的装饰非常<b>华丽</b>。,The decoration of the banquet hall is very <b>magnificent</b>.,
5569,下山,下山,xiàshān,verb,descend the mountain,天黑前我们必须<b>下山</b>。,We must <b>descend the mountain</b> before dark.,
5570,预备,預備,yùbèi,verb,"prepare, get ready",运动员正在<b>预备</b>起跑。,The athletes are <b>getting ready</b> for the start.,
5571,犹豫,猶豫,yóuyù,verb,"hesitate, waver",他毫不<b>犹豫</b>地答应了。,He agreed without any <b>hesitation</b>.,
5572,不见了,不見了,bújiànle,verb,"disappear, be missing",我的钱包突然<b>不见了</b>。,My wallet suddenly <b>disappeared</b>.,
5573,殖民,殖民,zhímín,verb,"colonize, establish colony",许多国家过去曾被欧洲列强<b>殖民</b>。,Many countries were <b>colonized</b> by European powers in the past.,
5574,德,德,dé,noun,"virtue, morality",这种报私仇的行为实在缺<b>德</b>。,This act of personal revenge is truly lacking in <b>virtue</b>.,
5575,对付,對付,duìfu,verb,"deal with, cope with, tackle",他不知道该如何<b>对付</b>那个麻烦的客户。,He doesn't know how to <b>deal with</b> that troublesome customer.,
5576,奖学金,獎學金,jiǎngxuéjīn,noun,"scholarship, stipend",她凭借优秀的成绩获得了全额<b>奖学金</b>。,She received a full <b>scholarship</b> due to her excellent grades.,
5577,蒋介石,蔣介石,Jiǎng Jièshí,noun,"Chiang Kai-shek, Jiang Jieshi",<b>蒋介石</b>是中国近代史上的重要人物。,<b>Chiang Kai-shek</b> was a significant figure in modern Chinese history.,
5578,对照,對照,duìzhào,verb,"contrast, compare",请<b>对照</b>原文检查一下翻译是否有误。,Please <b>compare</b> it with the original text to check if the translation is incorrect.,
5579,辉煌,輝煌,huīhuáng,adj,"brilliant, glorious, magnificent",这座建筑在灯光的映衬下显得格外<b>辉煌</b>。,The building looks exceptionally <b>brilliant</b> under the illumination of the lights.,
5580,惨,慘,cǎn,adj,"tragic, miserable, cruel",这一家人的遭遇非常<b>惨</b>。,The experience of this family was very <b>miserable</b>.,
5581,擅长,擅長,shàncháng,verb,"be good at, excel in",他非常<b>擅长</b>打网球。,He is very <b>good at</b> playing tennis.,
5582,黑暗,黑暗,hēi'àn,adj,"dark, darkness",在这<b>黑暗</b>的森林里，我迷失了方向。,"In this <b>dark</b> forest, I lost my way.",
5583,观望,觀望,guānwàng,verb,"wait and see, hesitate",投资者正在<b>观望</b>市场的变化。,Investors are <b>waiting and seeing</b> the market changes.,
5584,媳妇,媳婦,xífù,noun,"daughter-in-law, wife",他的<b>媳妇</b>对他父母很孝顺。,His <b>daughter-in-law</b> is very filial to his parents.,
5585,露天,露天,lùtiān,adj,"open-air, outdoors",我们昨晚在<b>露天</b>剧场看了电影。,We watched a movie at an <b>open-air</b> theater last night.,
5586,观摩,觀摩,guānmó,verb,"observe and learn, view and emulate",许多老师来<b>观摩</b>这堂公开课。,Many teachers came to <b>observe and learn</b> from this open class.,
5587,韩,韓,hán,noun,"Korea, Korean surname",她最近开始学习<b>韩</b>语。,She recently started learning the <b>Korean</b> language.,
5588,招收,招收,zhāoshōu,verb,"recruit, enroll, take in",这所大学每年<b>招收</b>几千名新生。,This university <b>enrolls</b> thousands of freshmen every year.,
5589,最爱,最愛,zuì'ài,noun,"favorite, best loved",巧克力是我的<b>最爱</b>。,Chocolate is my <b>favorite</b>.,
5590,移,移,yí,verb,"move, shift, remove",请把这盆花<b>移</b>到窗边。,Please <b>move</b> this potted flower to the window.,
5591,显,顯,xiǎn,verb,"show, display, manifest",他的话里<b>显</b>出了他的不安。,His words <b>showed</b> his unease.,
5592,描绘,描繪,miáohuì,verb,"depict, describe, portray",这本小说生动地<b>描绘</b>了乡村生活。,The novel vividly <b>depicts</b> country life.,
5593,当兵,當兵,dāngbīng,verb,"serve in the army, be a soldier",他高中毕业后就去<b>当兵</b>了。,He went to <b>serve in the army</b> right after graduating from high school.,
5594,书面,書面,shūmiàn,adj,"written, in writing",请提交一份<b>书面</b>报告。,Please submit a <b>written</b> report.,
5595,商家,商家,shāngjiā,noun,"business, merchant, retailer",许多<b>商家</b>在节日期间搞促销。,Many <b>businesses</b> have promotions during the holidays.,
5596,偏,偏,piān,adj,"partial, biased",老师处理问题时有些太<b>偏</b>心了。,The teacher was a bit too <b>partial</b> when handling the issue.,
5597,彗星,彗星,huìxīng,noun,comet,哈雷<b>彗星</b>每隔七十六年出现一次。,Halley's <b>Comet</b> appears every seventy-six years.,
5598,添,添,tiān,verb,"add, increase, append",给您的咖啡<b>添</b>点糖吗？,Would you like to <b>add</b> some sugar to your coffee?,
5599,盼望,盼望,pànwàng,verb,"look forward to, long for",孩子们非常<b>盼望</b>暑假的到来。,The children are <b>looking forward to</b> the summer vacation.,
5600,盆地,盆地,péndì,noun,"basin, river basin",四川<b>盆地</b>的气候很湿润。,The climate in the Sichuan <b>Basin</b> is very humid.,
5601,无知,無知,wúzhī,adj,"ignorant, lack of knowledge",他表现得非常<b>无知</b>。,He behaved very <b>ignorantly</b>.,
5602,冒险,冒險,màoxiǎn,verb,"take risks, venture",他决定独自一人去森林<b>冒险</b>。,He decided to <b>venture</b> into the forest alone.,
5603,乘客,乘客,chéngkè,noun,passenger,飞机的<b>乘客</b>们正在有序登机。,The <b>passengers</b> on the plane are boarding in an orderly manner.,
5604,制服,制服,zhìfú,noun,uniform,警察在执勤时必须穿着<b>制服</b>。,Police officers must wear <b>uniforms</b> while on duty.,
5605,行人,行人,xíngrén,noun,"pedestrian, passerby",司机在十字路口必须礼让<b>行人</b>。,Drivers must yield to <b>pedestrians</b> at intersections.,
5606,任职,任職,rènzhí,verb,"hold a post, serve",他在大学里<b>任职</b>为教授。,He <b>holds a post</b> as a professor at the university.,
5607,光纤,光纖,guāngxiān,noun,"optical fiber, fiber optics",<b>光纤</b>大大提高了互联网的传输速度。,<b>Optical fiber</b> has greatly improved internet transmission speeds.,
5608,攻,攻,gōng,verb,"attack, assault",守军顽强地抵抗了敌人的进<b>攻</b>。,The defenders stubbornly resisted the enemy's <b>attack</b>.,
5609,住处,住處,zhùchù,noun,"residence, dwelling",他现在的<b>住处</b>离火车站很近。,His current <b>residence</b> is very close to the train station.,
5610,行李,行李,xínglǐ,noun,"luggage, baggage",请不要把贵重物品放在托运的<b>行李</b>中。,Please do not put valuables in your checked <b>luggage</b>.,
5611,攻势,攻勢,gōngshì,noun,offensive,足球队在下半场发起了猛烈的<b>攻势</b>。,The football team launched a fierce <b>offensive</b> in the second half.,
5612,妨害,妨害,fánghài,verb,"impair, obstruct, disturb",公共场所吸烟会<b>妨害</b>他人的健康。,Smoking in public places will <b>harm</b> the health of others.,
5613,恰当,恰當,qiàdàng,adj,"appropriate, proper",请给这篇文章选一个<b>恰当</b>的标题。,Please choose an <b>appropriate</b> title for this article.,
5614,制成,製成,zhìchéng,verb,"make, manufacture",这些家具是用优质木材<b>制成</b>的。,This furniture is <b>made</b> of high-quality wood.,
5615,轿车,轎車,jiàochē,noun,"car, sedan",他开着一辆黑色的家用<b>轿车</b>。,He is driving a black family <b>sedan</b>.,
5616,验证,驗證,yànzhèng,verb,"verify, test",我们需要实验数据来<b>验证</b>这个理论。,We need experimental data to <b>verify</b> this theory.,
5617,市镇,市鎮,shìzhèn,noun,"town, small town",这个古老的<b>市镇</b>每年吸引许多游客。,This ancient <b>town</b> attracts many tourists every year.,
5618,心思,心思,xīnsī,noun,"thought, state of mind",他最近很有<b>心思</b>，总是一个人发呆。,"He has had a lot on his <b>mind</b> lately, always staring blankly.",
5619,心意,心意,xīnyì,noun,"regard, kind feeling",这件礼物代表了我的一点<b>心意</b>。,This gift represents a bit of my <b>kind feeling</b>.,
5620,少见,少見,shǎojiàn,adj,"rare, seldom seen",这种极光现象在南方是非常<b>少见</b>的。,This aurora phenomenon is very <b>rare</b> in the south.,
5621,化为,化為,huàwéi,verb,"become, turn into",大雪过后，大地<b>化为</b>一片银装素裹的世界。,"After the heavy snow, the earth <b>turned into</b> a silver-clad world.",
5622,赶到,趕到,gǎndào,verb,"rush to, arrive",他及时<b>赶到</b>了现场。,He <b>rushed to</b> the scene just in time.,
5623,厂牌,廠牌,chǎngpái,noun,"brand, trademark",这台电脑是什么<b>厂牌</b>的？,What <b>brand</b> is this computer?,
5624,线索,線索,xiànsuǒ,noun,"clue, lead",警察正在寻找更多的案件<b>线索</b>。,The police are looking for more <b>clues</b> regarding the case.,
5625,嘉义,嘉義,jiāyì,noun,Chiayi,他下周要去<b>嘉义</b>出差。,He is going to <b>Chiayi</b> on a business trip next week.,
5626,道歉,道歉,dàoqiàn,verb,apologize,他为自己的粗鲁行为向我<b>道歉</b>。,He <b>apologized</b> to me for his rude behavior.,
5627,经典,經典,jīngdiǎn,noun,"classic, scriptures",这部小说被公认为文学<b>经典</b>。,This novel is recognized as a literary <b>classic</b>.,
5628,子弟,子弟,zǐdì,noun,"younger generation, children",他很关心家乡<b>子弟</b>的教育。,He cares about the education of the <b>younger generation</b> in his hometown.,
5629,对面,對面,duìmiàn,noun,"opposite, across",邮局就在银行的<b>对面</b>。,The post office is right <b>opposite</b> the bank.,
5630,脾气,脾氣,píqì,noun,"temper, disposition",他的<b>脾气</b>变得越来越坏。,His <b>temper</b> is getting worse and worse.,
5631,想象力,想像力,xiǎngxiànglì,noun,imagination,那个孩子的<b>想象力</b>非常丰富。,That child has a very rich <b>imagination</b>.,
5632,补习,補習,bǔxí,verb,"take extra lessons, cram",他每天晚上都要去<b>补习</b>数学。,He has to <b>take extra lessons</b> in math every night.,
5633,运气,運氣,yùnqì,noun,"luck, fortune",他的<b>运气</b>很好，中了大奖。,He had great <b>luck</b> and won the lottery.,
5634,对比,對比,duìbǐ,noun,"contrast, ratio",这两个方案的<b>对比</b>非常明显。,The <b>contrast</b> between these two plans is very obvious.,
5635,数据机,數據機,shùjùjī,noun,modem,请重启<b>数据机</b>以恢复网络。,Please restart the <b>modem</b> to restore the network.,
5636,影展,影展,yǐngzhǎn,noun,"film festival, exhibition",这部电影在国际<b>影展</b>上获得了好评。,This film was well-received at the international <b>film festival</b>.,
5637,窗口,窗口,chuāngkǒu,noun,"service window, wicket",请在三号<b>窗口</b>排队买票。,Please queue at <b>window</b> three to buy tickets.,
5638,一般来说,一般來說,yībānláishuō,adv,generally speaking,<b>一般来说</b>，夏天这里会很热。,"<b>Generally speaking</b>, it gets very hot here in the summer.",
5639,山脉,山脈,shānmài,noun,mountain range,巍峨的<b>山脉</b>延绵数百里。,The majestic <b>mountain range</b> stretches for hundreds of miles.,
5640,民主化,民主化,mínzhǔhuà,verb,democratize,该机构正努力<b>民主化</b>其决策过程。,The organization is working to <b>democratize</b> its decision-making process.,
5641,千万,千萬,qiānwàn,num,"ten million, millions",这里的总人口已突破一<b>千万</b>。,The total population here has exceeded <b>ten million</b>.,
5642,打架,打架,dǎ jià,verb,"fight, scuffle",他们因为一点小事在街上<b>打架</b>。,They <b>fought</b> in the street over a small matter.,
5643,土著,土著,tǔ zhù,noun,"aboriginals, indigenous people",这些是澳大利亚<b>土著</b>的传统艺术。,These are the traditional arts of the Australian <b>aboriginals</b>.,
5644,充裕,充裕,chōng yù,adj,"abundant, ample",我们有<b>充裕</b>的时间来完成这个项目。,We have <b>ample</b> time to complete this project.,
5645,灵感,靈感,líng gǎn,noun,"inspiration, muse",这部小说是作者在旅行中获得的<b>灵感</b>。,This novel was the <b>inspiration</b> the author gained while traveling.,
5646,鲜明,鮮明,xiān míng,adj,"bright, distinct",这两个方案形成了<b>鲜明</b>的对比。,These two plans form a <b>distinct</b> contrast.,
5647,正当,正當,zhèng dāng,adj,"proper, legitimate",他的行为是出于<b>正当</b>防卫。,His actions were out of <b>legitimate</b> defense.,
5648,局势,局勢,jú shì,noun,"situation, state of affairs",该地区的政治<b>局势</b>非常紧张。,The political <b>situation</b> in this region is very tense.,
5649,细腻,細膩,xì nì,adj,"exquisite, fine",这幅画的线条非常<b>细腻</b>。,The lines of this painting are very <b>exquisite</b>.,
5650,连带,連帶,lián dài,adj,"joint, related",父母对孩子的行为负有<b>连带</b>责任。,Parents bear <b>joint</b> responsibility for their children's actions.,
5651,务实,務實,wù shí,adj,"pragmatic, practical",我们需要采取更加<b>务实</b>的态度。,We need to adopt a more <b>pragmatic</b> attitude.,
5652,国画,國畫,guó huà,noun,Chinese painting,她从小就开始学习<b>国画</b>。,She started learning <b>Chinese painting</b> when she was a child.,
5653,推测,推測,tuī cè,verb,"infer, conjecture",我们可以根据目前的数据进行<b>推测</b>。,We can <b>infer</b> based on the current data.,
5654,欲望,慾望,yù wàng,noun,"desire, appetite",金钱往往会激发人的贪婪<b>欲望</b>。,Money often triggers people's greedy <b>desires</b>.,
5655,颁发,頒發,bān fā,verb,"award, issue",校长为获奖学生<b>颁发</b>了奖状。,The principal <b>awarded</b> certificates to the winning students.,
5656,逐年,逐年,zhú nián,adv,"year after year, annually",这里的游客人数<b>逐年</b>增加。,The number of tourists here is increasing <b>year after year</b>.,
5657,雨水,雨水,yǔ shuǐ,noun,"rainwater, rainfall",今年南方的<b>雨水</b>非常充沛。,There is very abundant <b>rainfall</b> in the south this year.,
5658,配备,配備,pèi bèi,noun,"equipment, outfit",这里的消防<b>配备</b>很完善。,The fire <b>equipment</b> here is very complete.,
5659,亚太,亞太,yà tài,noun,Asia-Pacific,<b>亚太</b>地区的经济增长迅速。,The economic growth in the <b>Asia-Pacific</b> region is rapid.,
5660,奠定,奠定,diàn dìng,verb,"establish, lay",这次会议为两国的合作<b>奠定</b>了基础。,This meeting <b>laid</b> the foundation for cooperation between the two countries.,
5661,大王,大王,dài wáng,noun,"king, magnate",故事里的山寨<b>大王</b>性格豪爽。,The mountain <b>king</b> in the story has a bold personality.,
5662,开展,開展,kāizhǎn,verb,"launch, develop",我们准备<b>开展</b>一项新的研究。,We are preparing to <b>launch</b> a new study.,
5663,保健,保健,bǎojiàn,noun,"health care, health protection",每天锻炼是最好的<b>保健</b>方法。,Daily exercise is the best method of <b>health care</b>.,
5664,忽,忽,hū,adv,"suddenly, unexpectedly",天气<b>忽</b>冷忽热，很容易感冒。,"The weather is <b>suddenly</b> cold then suddenly hot, making it easy to catch a cold.",
5665,存款,存款,cúnkuǎn,noun,"bank deposit, savings",他把所有的<b>存款</b>都存进了银行。,He put all his <b>savings</b> into the bank.,
5666,走向,走向,zǒuxiàng,noun,"trend, direction",谁也无法预料股市的<b>走向</b>。,No one can predict the <b>trend</b> of the stock market.,
5667,妙,妙,miào,adj,"wonderful, ingenious",这是一个非常<b>妙</b>的主意。,This is a very <b>ingenious</b> idea.,
5668,吾,吾,wú,pron,"I, my",<b>吾</b>日三省吾身。,<b>I</b> reflect on myself three times a day.,
5669,垃圾场,垃圾場,lèsèchǎng,noun,"garbage dump, landfill",城市边缘有一个巨大的<b>垃圾场</b>。,There is a huge <b>garbage dump</b> on the edge of the city.,
5670,重重,重重,chóngchóng,adj,"numerous, layer upon layer",我们要克服<b>重重</b>困难才能成功。,We must overcome <b>numerous</b> difficulties to succeed.,
5671,亮丽,亮麗,liànglì,adj,"bright and beautiful, brilliant",她的表演是整场晚会最<b>亮丽</b>的风景。,Her performance was the most <b>brilliant</b> part of the whole evening.,
5672,海关,海關,hǎiguān,noun,"customs, customhouse",通过<b>海关</b>时需要检查护照。,You need to check your passport when going through <b>customs</b>.,
5673,美景,美景,měijǐng,noun,"beautiful scenery, beautiful sight",窗外的山色真是一片<b>美景</b>。,The mountain view outside the window is truly a <b>beautiful sight</b>.,
5674,果真,果真,guǒzhēn,adv,"really, as expected",预报说有雨，现在<b>果真</b>下起来了。,"The forecast said it would rain, and now it <b>really</b> has started.",
5675,首要,首要,shǒuyào,adj,"primary, of first importance",安全是我们工作的<b>首要</b>任务。,Safety is the <b>primary</b> task of our work.,
5676,音乐厅,音樂廳,yīnyuètīng,noun,"concert hall, music hall",我们今晚去<b>音乐厅</b>听交响乐。,We are going to the <b>concert hall</b> tonight to listen to a symphony.,
5677,苗栗,苗栗,Miáolì,noun,Miaoli (county in Taiwan),<b>苗栗</b>以其美丽的自然风光闻名。,<b>Miaoli</b> is famous for its beautiful natural scenery.,
5678,欺骗,欺騙,qīpiàn,verb,"deceive, cheat",他竟然<b>欺骗</b>了自己的好朋友。,He actually <b>deceived</b> his own best friend.,
5679,幸好,幸好,xìnghǎo,adv,"fortunately, luckily",<b>幸好</b>我带了伞，不然就淋湿了。,"<b>Fortunately</b> I brought an umbrella, otherwise I would have gotten soaked.",
5680,办桌,辦桌,bànzhuō,verb,"host a banquet, hold a feast",在台湾农村，结婚常常会<b>办桌</b>。,"In rural Taiwan, weddings often involve <b>hosting a banquet</b>.",
5681,澳门,澳門,Àomén,noun,Macau,<b>澳门</b>以博彩业和葡式蛋挞著称。,<b>Macau</b> is famous for its gambling industry and Portuguese egg tarts.,
5682,震荡,震盪,zhèndàng,verb,"shake, vibrate, oscillate",股市正经历剧烈的<b>震荡</b>。,The stock market is experiencing severe <b>shaking</b>.,
5683,暴露,暴露,pùlù,verb,"expose, reveal, lay bare",他的秘密向公众<b>暴露</b>了。,His secrets were <b>exposed</b> to the public.,
5684,热带,熱帶,rèdài,noun,"tropics, tropical zone",<b>热带</b>生长着许多独特的植物。,Many unique plants grow in the <b>tropics</b>.,
5685,战事,戰事,zhànshì,noun,"war, hostilities, military operations",那个地区的<b>战事</b>终于结束了。,The <b>war</b> in that region has finally ended.,
5686,制,製,zhì,verb,"make, manufacture, produce",这件衣服是手工<b>制</b>成的。,This garment was <b>made</b> by hand.,
5687,缘,緣,yuán,noun,"fate, predestination, affinity",我们在这里相遇真是莫大的<b>缘</b>分。,It is a great <b>fate</b> that we met here.,
5688,夕阳,夕陽,xìyáng,noun,"setting sun, sunset",我们看着<b>夕阳</b>在地平线上落下。,We watched the <b>setting sun</b> over the horizon.,
5689,人道,人道,réndào,noun,"humanity, human sympathy",这种行为违背了基本的<b>人道</b>。,This behavior violates basic <b>humanity</b>.,
5690,下课,下課,xiàkè,verb,"finish class, get out of class",学生们一<b>下课</b>就离开了教室。,The students left the room as soon as they <b>finished class</b>.,
5691,心胸,心胸,xīnxiōng,noun,"breadth of mind, vision",他是一个<b>心胸</b>开阔的人。,He is a man of broad <b>mind</b>.,
5692,尺,尺,chǐ,measure,unit of length (chi),这块布有五<b>尺</b>长。,This cloth is five <b>chi</b> long.,
5693,咨商,諮商,zīshāng,verb,"consult, counsel, confer",我需要和我的律师进行<b>咨商</b>。,I need to <b>consult</b> with my lawyer.,
5694,想不到,想不到,xiǎngbúdào,verb,"unexpected, unanticipated",我<b>想不到</b>会在这里遇见他。,I <b>didn't expect</b> to meet him here.,
5695,感官,感官,gǎnguān,noun,"sense organ, sensory faculty",人类有五种主要的<b>感官</b>。,Humans have five primary <b>senses</b>.,
5696,号召,號召,hàozhào,verb,"call, appeal, summon",领导人发出团结的<b>号召</b>。,The leader issued a <b>call</b> for unity.,
5697,周年,週年,zhōunián,measure,"anniversary, full year",它是公司成立十<b>周年</b>的纪念品。,It is a souvenir for the tenth <b>anniversary</b> of the company's founding.,
5698,缘故,緣故,yuángù,noun,"reason, cause, sake",他因为某种未知的<b>缘故</b>失败了。,He failed for some unknown <b>reason</b>.,
5699,道家,道家,dàojiā,noun,"Taoism, Taoist school",<b>道家</b>对中国文化有着深远的影响。,<b>Taoism</b> has a profound influence on Chinese culture.,
5700,号称,號稱,hàochēng,verb,"be known as, claim to be",这座城市<b>号称</b>“春城”。,"This city is <b>known as</b> the ""Spring City"".",
5701,睡着,睡著,shuìzháo,verb,"fall asleep, be asleep",宝宝已经<b>睡着</b>了。,The baby has already <b>fallen asleep</b>.,
5702,增长,增長,zēngzhǎng,verb,"increase, grow",这里的经济正在快速<b>增长</b>。,The economy here is <b>growing</b> rapidly.,
5703,报案,報案,bào'àn,verb,"report a case, report to police",如果你丢了包，应该立即去<b>报案</b>。,"If you lose your bag, you should <b>report the case</b> to the police immediately.",
5704,黑白,黑白,hēibái,adj,"black and white, right and wrong",他是一个是非分明、<b>黑白</b>分明的人。,He is a person who distinguishes clearly between <b>right and wrong</b>.,
5705,充足,充足,chōngzú,adj,"ample, sufficient",我们有<b>充足</b>的时间完成任务。,We have <b>ample</b> time to complete the task.,
5706,疼痛,疼痛,téngtòng,noun,"pain, ache",这种药可以缓解肌肉<b>疼痛</b>。,This medicine can relieve muscle <b>pain</b>.,
5707,简称,簡稱,jiǎnchēng,verb,"be abbreviated to, be called for short",北京大学<b>简称</b>“北大”。,"Peking University is <b>abbreviated to</b> ""Beida"".",
5708,脏,髒,zāng,adj,"dirty, filthy",你的手太<b>脏</b>了，快去洗洗。,"Your hands are too <b>dirty</b>, go wash them.",
5709,签署,簽署,qiānshǔ,verb,"sign, initial",两国元首正式<b>签署</b>了和平协议。,The two heads of state officially <b>signed</b> the peace agreement.,
5710,签证,簽證,qiānzhèng,noun,visa,我需要去大使馆办理旅游<b>签证</b>。,I need to go to the embassy to apply for a tourist <b>visa</b>.,
5711,体操,體操,tǐcāo,noun,"gymnastics, physical exercise",她从小就开始练习<b>体操</b>。,She has been practicing <b>gymnastics</b> since she was a child.,
5712,搬,搬,bān,verb,"move, transfer",我们下个月要<b>搬</b>到新家。,We are <b>moving</b> to a new home next month.,
5713,真诚,真誠,zhēnchéng,adj,"sincere, genuine",他向我表达了<b>真诚</b>的歉意。,He expressed his <b>sincere</b> apologies to me.,
5714,衰退,衰退,shuāituì,verb,"decline, fail",这种病会导致记忆力逐渐<b>衰退</b>。,This disease will cause memory to gradually <b>decline</b>.,
5715,陈情,陳情,chénqíng,verb,"petition, state circumstances",他向政府部门<b>陈情</b>，希望解决土地纠纷。,"He <b>petitioned</b> the government department, hoping to resolve the land dispute.",
5716,高职,高職,gāozhí,noun,"vocational school, technical college",他初中毕业后选择读<b>高职</b>。,He chose to attend a <b>vocational school</b> after graduating from junior high.,
5717,绝,絕,jué,adv,"absolutely, extremely",这种事<b>绝</b>不能再发生了。,This kind of thing must <b>absolutely</b> never happen again.,
5718,乡民,鄉民,xiāngmín,noun,"villager, country folk",<b>乡民</b>们在这里过着宁静的生活。,The <b>villagers</b> live a peaceful life here.,
5719,新埔,新埔,Xīnbǔ,noun,"Xinpu (town), place name",<b>新埔</b>是台湾一个著名的小镇。,<b>Xinpu</b> is a famous small town in Taiwan.,
5720,无力,無力,wúlì,adj,"powerless, weak",他感到全身<b>无力</b>，只想睡觉。,He felt <b>weak</b> all over and just wanted to sleep.,
5721,媒介,媒介,méijiè,noun,"medium, intermediary",语言是人类沟通的重要<b>媒介</b>。,Language is an important <b>medium</b> for human communication.,
5722,郑,鄭,Zhèng,noun,Zheng (surname),<b>郑</b>先生是我的邻居。,Mr. <b>Zheng</b> is my neighbor.,
5723,贵,貴,guì,adj,"your (honorific), expensive",请问<b>贵</b>姓？,May I ask <b>your</b> surname?,
5724,计有,計有,jìyǒu,verb,"total, amount to",该校学生<b>计有</b>三千人。,The students in this school <b>total</b> three thousand.,
5725,无从,無從,wúcóng,adv,"unable to, have no way",我<b>无从</b>表达我的感激之情。,I am <b>unable to</b> express my gratitude.,
5726,园地,園地,yuándì,noun,"garden, section, field",这本杂志有一个专门的文学<b>园地</b>。,This magazine has a special literary <b>section</b>.,
5727,灿烂,燦爛,cànlàn,adj,"brilliant, splendid",阳光十分<b>灿烂</b>。,The sunlight is very <b>brilliant</b>.,
5728,墨西哥,墨西哥,Mòxīgē,noun,Mexico,我明年打算去<b>墨西哥</b>旅游。,I plan to travel to <b>Mexico</b> next year.,
5729,课本,課本,kèběn,noun,"textbook, schoolbook",请打开<b>课本</b>到第十页。,Please open the <b>textbook</b> to page ten.,
5730,抗日,抗日,kàngrì,verb,resist Japan,他参加过<b>抗日</b>战争。,He participated in the war to <b>resist Japan</b>.,
5731,领土,領土,lǐngtǔ,noun,"territory, domain",钓鱼岛是中国<b>领土</b>。,Diaoyu Island is Chinese <b>territory</b>.,
5732,尴尬,尷尬,gāngà,adj,"awkward, embarrassed",那个局面让他感到很<b>尴尬</b>。,That situation made him feel very <b>awkward</b>.,
5733,齐全,齊全,qíquán,adj,"complete, all-inclusive",这里的设备非常<b>齐全</b>。,The equipment here is very <b>complete</b>.,
5734,荣获,榮獲,rónghuò,verb,"win (an award), be honored with",他<b>荣获</b>了年度最佳员工奖。,He <b>won</b> the Employee of the Year award.,
5735,学界,學界,xuéjiè,noun,"academia, academic circles",这一发现引起了<b>学界</b>的关注。,This discovery has attracted the attention of <b>academic circles</b>.,
5736,运,運,yùn,verb,"transport, carry, move",货车把木材<b>运</b>往工厂。,The truck <b>transports</b> the wood to the factory.,
5737,定案,定案,dìngàn,verb,"finalize a case, reach verdict",经过多年审理，这起案件终于<b>定案</b>了。,"After years of trial, this case has finally been <b>finalized</b>.",
5738,地域,地域,dìyù,noun,"region, district, area",每个<b>地域</b>都有其独特的文化。,Every <b>region</b> has its unique culture.,
5739,外部,外部,wàibù,noun,"exterior, outside, external",建筑的<b>外部</b>装饰非常现代。,The <b>exterior</b> decoration of the building is very modern.,
5740,门诊,門診,ménzhěn,noun,"outpatient service, clinic",这间医院的<b>门诊</b>部在二楼。,The <b>outpatient service</b> department of this hospital is on the second floor.,
5741,存取,存取,cúnqǔ,verb,"access (data), retrieve",用户可以远程<b>存取</b>数据库。,Users can remotely <b>access</b> the database.,
5742,宜兰县,宜蘭縣,Yílán Xiàn,noun,Yilan County,<b>宜兰县</b>位于台湾东北部。,<b>Yilan County</b> is located in northeastern Taiwan.,
5743,列车,列車,lièchē,noun,train,<b>列车</b>将在五分钟后发车。,The <b>train</b> will depart in five minutes.,
5744,多样,多樣,duōyàng,adj,"diverse, varied",生物界是极其<b>多样</b>的。,The biological world is extremely <b>diverse</b>.,
5745,来访,來訪,láifǎng,verb,"visit, call on",欢迎各位贵宾前来<b>来访</b>。,Welcome all guests who have come to <b>visit</b>.,
5746,成分,成份,chéngfèn,noun,"component, ingredient",这份药物含有天然<b>成分</b>。,This medicine contains natural <b>ingredients</b>.,
5747,连上,連上,liánshàng,verb,"connect, link",电脑已经<b>连上</b>了互联网。,The computer is already <b>connected</b> to the internet.,
5748,计较,計較,jìjiào,verb,"haggle over, fuss about",他从不和朋友<b>计较</b>小钱。,He never <b>haggles</b> over small amounts of money with his friends.,
5749,金瓜石,金瓜石,Jīnguāshí,noun,Jinguashi,<b>金瓜石</b>曾是一个著名的金矿区。,<b>Jinguashi</b> was once a famous gold mining area.,
5750,后遗症,後遺症,hòuyízhèng,noun,"aftereffect, sequela",这种疾病可能会留下严重的<b>后遗症</b>。,This disease may leave serious <b>aftereffects</b>.,
5751,玫瑰,玫瑰,méiguī,noun,rose,他送了一束<b>玫瑰</b>给妻子。,He gave a bouquet of <b>roses</b> to his wife.,
5752,科学园区,科學園區,kēxué yuánqū,noun,"science park, industrial park",新竹<b>科学园区</b>是台湾的科技中心。,Hsinchu <b>Science Park</b> is the technology hub of Taiwan.,
5753,负荷,負荷,fùhè,noun,"load, burden",这台机器超出了最大<b>负荷</b>。,This machine has exceeded its maximum <b>load</b>.,
5754,包装,包裝,bāozhuāng,noun,"packaging, wrapping",这件商品的<b>包装</b>非常精美。,The <b>packaging</b> of this product is very exquisite.,
